username,post_id,caption,comments_text,likes,comments_count,timestamp,post_date,is_video,has_multiple_media,video_duration,video_view_count,hashtags,hashtag_count,mentions,mention_count,url_count,caption_length,comments_length,total_engagement
mattrife,DRshXQCkd1B,"Matt Rife makes history in Philly! 🔔 The Stay Golden Tour breaks the attendance record for a comedy show at Xfinity Mobile Arena. Congratulations, Matt! 👏 📸: Cesar Molina",Bringing out Shane Gillis was the best part for sure Bringing out Shane Gillis was the best part for sure LOOK AT MESSAGE REQUEST. PLZZZ Insane @theeashleyj 😂,6885,194,2025-11-30T21:26:31.000Z,2025-11-30 21:26:31+00:00,False,True,0.0,0,,0,,0,0,170,158,7079
mattrife,DRp9R9Zkkwb,@mattrife talking his talk 🗣️ OSU beat Michigan in “The Game.”,We did!!!! We did!!!! Y’all finally won a game….🤣🤣 Michigan has beaten Ohio State four times in the last four years. GO BLUE 💙🏈〽️🫡 Michigan luvs you @mattrife but rt back at Ohio as you said to Michigan 😂🤣🙌! Go Blue Michigan 💙 🙉🙉🙉ugh he’s so hot . I agree with whatever he said … Who the fk is this guy 😂 ❤️🩶🔥 🤣 @ben_f916 so the biggest comedian in the world right now wasn't good? 😂,121953,1689,2025-11-29T21:34:38.000Z,2025-11-29 21:34:38+00:00,True,False,8.9,1133564,,0,mattrife,1,0,62,383,123642
mattrife,DRm5sNaCTz2,The most competitive Christmas gift you can get this year is @boxbollen 🙏🏼🥊 See how many hits you can get in 5 seconds 😉 boxbollen.com,@kelvynpa @kelvynpa 🔥 If you need to know who made the Shane Gillis being the A list fat ass joke tn it was me Looks fun! @sarrrrrah._ 🥊‼️ @mariolopez Michigan looking for you buddy 😂 if u see them hide well that ain’t gone work lol 😂😂😂😂😂😂😂 RI and MA best Car services #booknow www.kplimoservice.com business account available!,25907,137,2025-11-28T17:05:38.000Z,2025-11-28 17:05:38+00:00,True,False,43.7,758299,,0,boxbollen,1,0,134,327,26044
mattrife,DRf0jkjkaHp,DECEMBER 2nd‼️🎅🏼 UNWRAPPED Watch my new Christmas Special on @netflix @netflixisajoke 🎄 SET YOUR REMINDERS NOW! Tag friend who you wanna watch with! #comedy #mattrife #standup #standupcomedy #netflix #special #christmas #holidays,What time? What time? cant wait for this! I can’t wait for this ❤️❤️❤️❤️❤️,-1,716,2025-11-25T23:04:05.000Z,2025-11-25 23:04:05+00:00,False,False,0.0,0,"comedy,mattrife,standup,standupcomedy,netflix,special,christmas,holidays",8,"netflix,netflixisajoke",2,0,229,74,715
mattrife,DRdo6GLgNHI,More tiddies than teeth at this show 😂🍋🍋🦷 #comedy #mattrife #funny #standup #standupcomedy #detroit #teeth #boob,@ali_jalizad پسر این خیلی شبیه تویه @ali_jalizad پسر این خیلی شبیه تویه 😂😂😂😂 Bro definitely knows how to work those nobs I love this sketch about the crocheted breasts! 🤣 😂😂😂 Ill pay for a set tit scarf I love your laugh 😂😂 and the fact that you laugh at yourself is just so damn adorable 🥰,59763,481,2025-11-25T02:55:02.000Z,2025-11-25 02:55:02+00:00,True,False,211.791,809086,"comedy,mattrife,funny,standup,standupcomedy,detroit,teeth,boob",8,,0,0,112,290,60244
mattrife,DRX8OpzgY7X,"GRAND RAPIDS, MICHIGAN!!! 🏆 We broke the record for most tickets ever sold at a comedy show in the whole arena! The venue gifted me the coolest belt in memory of the night😆😍 Ya’ll were SO much fun! Start to finish- and thanks for helping with the video at the end! I love you guys! #mattrife #funny #michigan #standup #standupcomedy #grandrapids",Well deserved despite how gay you look in 93% of those pics..🙌😂XX Well deserved despite how gay you look in 93% of those pics..🙌😂XX i AM here Swole 👏👏👏 Hope to see you in Pittsburgh soon @rswalker82 book book. Book! This will be my fav thing ever 😂 Keep shining brother. Hope to see you live someday. 🙏🏼🤘🏼 Handsome ❤️ 🔥🔥🔥,-1,403,2025-11-22T21:37:13.000Z,2025-11-22 21:37:13+00:00,False,True,0.0,0,"mattrife,funny,michigan,standup,standupcomedy,grandrapids",6,,0,0,345,321,402
mattrife,DRTCOu3gCxq,We support mom & pop businesses over here 😂 #mattrife #funny #netflix #comedy #standupcomedy #family,😂😂😂😂 😂😂😂😂 😂😂😂😂😂😂😂 Easy money 🤣🤣🤣 Your fucking humor comes from aliens 😂😂😂😂 Have to admit you ARE hilarious 😂😂 LMFAO 😂😂😂😂😂 I AM here 🤣🤣🤣🤣 I totally lost it at the Sybian Machine. Now my ADHD will make me an expert on the topic. Damn you @mattrife 🤣,250290,1771,2025-11-21T00:24:12.000Z,2025-11-21 00:24:12+00:00,True,False,313.041,2109544,"mattrife,funny,netflix,comedy,standupcomedy,family",6,,0,0,100,247,252061
mattrife,DRImnTekof7,HELP ME‼️ I wanna pick an NFL Team to pledge my loyalty to 😆 I didn’t grow up with one and i wanna be invested! Tell me who and why i should root for your team👇🏼 #mattrife #comedy #nfl #football,Uhhh bengals? Uhhh bengals? Packers💚💛💚🏈🏈 Big DDd Browns fan since your a big Ohio fan or join the gang miami dolphins #305 Go BILLS 🏈💙❤️,54366,34670,2025-11-16T22:41:13.000Z,2025-11-16 22:41:13+00:00,True,False,68.682,804218,"mattrife,comedy,nfl,football",4,,0,0,194,136,89036
mattrife,DRDRnsgEmYi,2026 TOUR DATES NOW ON SALE!!!! On my website MattRifeOfficial.com This is going to be my last tour very a long while… i hope i get to see you guys ❤️ it’s gonna be a fkn blast! These shows are the best times of my life! #comedy #mattrife #standup #standupcomedy #tour #funny,U coming to Australia 🇦🇺 @mattrife U coming to Australia 🇦🇺 @mattrife Please come to NEW ORLEANS!! @mattrife can you please do one on San Juan Puerto Rico..at the coliseum or the Coca-Cola music hall? 2026 full!🔥🔥🔥🔥 Would you ever come to Reno Nevada? And again no Belgium 😢 Yes Manchester! See you there I have tickets for the September 4th show at the Mohican Sun arena!! I'm going to have to kiss my BF's ass forever for buying the tickets!! Make sure you take care of yourself your Management has you all over the world next year not even next year in a little over a month!! Rest up because there's no rest for the weary! You don't wanna end up in the hospital.🙏🙏🙏🙏🙏,24566,1170,2025-11-14T21:00:00.000Z,2025-11-14 21:00:00+00:00,True,False,52.285,238497,"comedy,mattrife,standup,standupcomedy,tour,funny",6,,0,0,275,671,25736
mattrife,DRBEVPcACjk,"Onyx was a great, anxious sport 🥰😂😂🏳️‍⚧️ She/We had a great time ❤️ #comedy #mattrife #funny #standup #standupcomedy #anxiety",“Dont go to school about it”🗣️🗣️🥀😂 “Dont go to school about it”🗣️🗣️🥀😂 Lol my birthday is September 10 😭😭 ❤️❤️ He is so cool! Perfect mix of humor and respect for all of us! Virgo's club👏 ❤️❤️❤️,106125,1175,2025-11-14T01:37:48.000Z,2025-11-14 01:37:48+00:00,True,False,320.291,967211,"comedy,mattrife,funny,standup,standupcomedy,anxiety",6,,0,0,125,193,107300
